"error_severity","event_message","id","timestamp"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","e19cf278-56a0-45c8-affe-f1600b90d6a2","1698115781871000"
"LOG","connection authorized: user=postgres database=postgres","0520ea26-13ba-4c2a-b2d7-7f7f69fa93a9","1698115781470000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","d71b0e2c-cf06-4400-820a-2141de1089b9","1698115781470000"
"LOG","connection authorized: user=postgres database=postgres","84f96b79-8089-4e19-abf2-e0ec4c50e03b","1698115781319000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","d3f54f01-12f3-4423-b7a1-5aefabbef0b6","1698115781319000"
"LOG","connection authorized: user=postgres database=postgres","8e77d533-399d-43df-988b-8704d9b2364c","1698115781301000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","f18c741f-e0d1-439b-b858-08aad08f2263","1698115781301000"
"LOG","connection received: host=172.17.11.87 port=36468","1286716b-7236-4ced-b413-516e162cfae2","1698115781294000"
"LOG","connection received: host=172.17.11.50 port=35358","e4f7cbe0-de3f-45d6-b627-d54e7073407c","1698115781274000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","2db2a174-8593-4b28-a4bb-342930ecbaca","1698115778188000"
"LOG","connection authorized: user=postgres database=postgres","22a223f9-7c58-4f79-b404-c35cc89685b6","1698115778091000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","efc0fbec-4e48-4f7a-a6fd-cefdc3fc8b56","1698115778091000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","0ae90afb-d66d-4f30-9685-1b23cb6bb7cb","1698115778076000"
"LOG","connection authorized: user=postgres database=postgres","84cf5f0b-72f5-4c50-ad03-e709a3c9cd38","1698115778076000"
"LOG","connection authorized: user=postgres database=postgres","86239877-5554-4590-bdf0-0a88388fd9e5","1698115778050000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","e183978e-d125-43ae-9d34-36f62f94a8ca","1698115778050000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","5be2f32a-b152-425d-8168-633f472c4772","1698115778016000"
"LOG","connection authorized: user=postgres database=postgres","45e35e78-f2fa-4653-9dae-8f52beab9882","1698115778016000"
"LOG","connection received: host=172.17.11.50 port=35332","aade2ebb-1631-4e87-abc4-2414aa85e5fc","1698115777988000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","61f9e0a5-f5fe-482f-acf3-e61c3a0de320","1698115545403000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","940e3a12-bcad-48d7-a271-2f4f210c50a9","1698115545378000"
"LOG","connection authorized: user=postgres database=postgres","13c1f6e4-80f0-4629-9703-9a914e536af2","1698115545378000"
"LOG","connection authorized: user=supabase_admin database=postgres","d702f6b5-7f68-4978-a016-a38658e7e96b","1698115545356000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","ebab7659-0c03-47ab-838b-41aa18094f23","1698115545356000"
"LOG","connection authorized: user=postgres database=postgres","2c306781-54a5-4cb0-813c-711cd3bff61a","1698115545238000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","69b4b418-96ba-45fa-b438-997091703c05","1698115545238000"
"LOG","connection authorized: user=postgres database=postgres","ccdb7279-1814-4697-8aee-d2a8af825c05","1698115544653000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","878b1abc-a4c1-455e-884a-53390642ec46","1698115544653000"
"LOG","connection authorized: user=postgres database=postgres","4b8fd186-dfcc-41c0-95df-43a035518c07","1698115544575000"
